"period","censusdate","era","oera","plot","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","tinygran_e","oplottype","fplottype","fplot","total_e_ma","dipo_e_ma","smgran_e_ma","pb_e_ma","pp_e_ma","tinygran_e_ma"
119,1988-02-21,"a_pre_pb","a_pre_pb",3,"EE",176,39,137,0,0,137,"EE","EE","3",176,39,137,0,0,137
119,1988-02-21,"a_pre_pb","a_pre_pb",4,"CC",351,351,0,0,0,0,"CC","CC","4",351,351,0,0,0,0
119,1988-02-21,"a_pre_pb","a_pre_pb",11,"CC",297,274,23,0,0,23,"CC","CC","11",297,274,23,0,0,23
119,1988-02-21,"a_pre_pb","a_pre_pb",14,"CC",44,44,0,0,0,0,"CC","CC","14",44,44,0,0,0,0
119,1988-02-21,"a_pre_pb","a_pre_pb",15,"EE",52,0,52,0,0,52,"EE","EE","15",52,0,52,0,0,52
119,1988-02-21,"a_pre_pb","a_pre_pb",17,"CC",154,112,42,0,0,42,"CC","CC","17",154,112,42,0,0,42
119,1988-02-21,"a_pre_pb","a_pre_pb",19,"EE",80,0,80,0,0,80,"EE","EE","19",80,0,80,0,0,80
119,1988-02-21,"a_pre_pb","a_pre_pb",20,"EE",180.72923441,147,33.72923441,0,0,33.72923441,"EE","EE","20",180.72923441,147,33.72923441,0,0,33.72923441
119,1988-02-21,"a_pre_pb","a_pre_pb",21,"EE",39,0,39,0,0,39,"EE","EE","21",39,0,39,0,0,39
120,1988-03-20,"a_pre_pb","a_pre_pb",3,"EE",187,81,106,0,20,106,"EE","EE","3",181.5,60,121.5,0,10,121.5
120,1988-03-20,"a_pre_pb","a_pre_pb",4,"CC",466,466,0,0,0,0,"CC","CC","4",408.5,408.5,0,0,0,0
120,1988-03-20,"a_pre_pb","a_pre_pb",11,"CC",326.03951957,308.03951957,18,0,18,18,"CC","CC","11",311.519759785,291.019759785,20.5,0,9,20.5
120,1988-03-20,"a_pre_pb","a_pre_pb",14,"CC",175,154,21,0,0,21,"CC","CC","14",109.5,99,10.5,0,0,10.5
120,1988-03-20,"a_pre_pb","a_pre_pb",15,"EE",77,0,77,0,0,77,"EE","EE","15",64.5,0,64.5,0,0,64.5
120,1988-03-20,"a_pre_pb","a_pre_pb",17,"CC",162,114,48,0,0,48,"CC","CC","17",158,113,45,0,0,45
120,1988-03-20,"a_pre_pb","a_pre_pb",19,"EE",22,0,22,0,0,22,"EE","EE","19",51,0,51,0,0,51
120,1988-03-20,"a_pre_pb","a_pre_pb",20,"EE",32,0,32,0,0,32,"EE","EE","20",106.364617205,73.5,32.864617205,0,0,32.864617205
120,1988-03-20,"a_pre_pb","a_pre_pb",21,"EE",22,0,22,0,0,22,"EE","EE","21",30.5,0,30.5,0,0,30.5
121,1988-04-17,"a_pre_pb","a_pre_pb",3,"EE",145,0,145,0,43,145,"EE","EE","3",169.333333333333,40,129.333333333333,0,21,129.333333333333
121,1988-04-17,"a_pre_pb","a_pre_pb",4,"CC",127,119,8,0,0,8,"CC","CC","4",314.666666666667,312,2.66666666666667,0,0,2.66666666666667
121,1988-04-17,"a_pre_pb","a_pre_pb",11,"CC",152,131,21,0,21,21,"CC","CC","11",258.346506523333,237.679839856667,20.6666666666667,0,13,20.6666666666667
121,1988-04-17,"a_pre_pb","a_pre_pb",14,"CC",110,98,12,0,0,12,"CC","CC","14",109.666666666667,98.6666666666667,11,0,0,11
121,1988-04-17,"a_pre_pb","a_pre_pb",15,"EE",11,0,11,0,0,11,"EE","EE","15",46.6666666666667,0,46.6666666666667,0,0,46.6666666666667
121,1988-04-17,"a_pre_pb","a_pre_pb",17,"CC",171,171,0,0,0,0,"CC","CC","17",162.333333333333,132.333333333333,30,0,0,30
121,1988-04-17,"a_pre_pb","a_pre_pb",19,"EE",36,0,36,0,0,36,"EE","EE","19",46,0,46,0,0,46
121,1988-04-17,"a_pre_pb","a_pre_pb",20,"EE",31,0,31,0,0,31,"EE","EE","20",81.2430781366667,49,32.2430781366667,0,0,32.2430781366667
121,1988-04-17,"a_pre_pb","a_pre_pb",21,"EE",8,0,8,0,0,8,"EE","EE","21",23,0,23,0,0,23
122,1988-05-14,"a_pre_pb","a_pre_pb",3,"EE",79,0,79,0,65,79,"EE","EE","3",146.75,30,116.75,0,32,116.75
122,1988-05-14,"a_pre_pb","a_pre_pb",4,"CC",409,409,0,0,0,0,"CC","CC","4",338.25,336.25,2,0,0,2
122,1988-05-14,"a_pre_pb","a_pre_pb",11,"CC",199,179,20,0,20,20,"CC","CC","11",243.5098798925,223.0098798925,20.5,0,14.75,20.5
122,1988-05-14,"a_pre_pb","a_pre_pb",14,"CC",156,156,0,0,0,0,"CC","CC","14",121.25,113,8.25,0,0,8.25
122,1988-05-14,"a_pre_pb","a_pre_pb",15,"EE",12,0,12,0,0,12,"EE","EE","15",38,0,38,0,0,38
122,1988-05-14,"a_pre_pb","a_pre_pb",17,"CC",111,111,0,0,0,0,"CC","CC","17",149.5,127,22.5,0,0,22.5
122,1988-05-14,"a_pre_pb","a_pre_pb",19,"EE",15,0,15,0,15,15,"EE","EE","19",38.25,0,38.25,0,3.75,38.25
122,1988-05-14,"a_pre_pb","a_pre_pb",20,"EE",64,0,64,0,0,64,"EE","EE","20",76.9323086025,36.75,40.1823086025,0,0,40.1823086025
122,1988-05-14,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",17.25,0,17.25,0,0,17.25
123,1988-06-11,"a_pre_pb","a_pre_pb",3,"EE",119,0,119,0,58,119,"EE","EE","3",141.2,24,117.2,0,37.2,117.2
123,1988-06-11,"a_pre_pb","a_pre_pb",4,"CC",340,340,0,0,0,0,"CC","CC","4",338.6,337,1.6,0,0,1.6
123,1988-06-11,"a_pre_pb","a_pre_pb",11,"CC",240,195,45,0,19,45,"CC","CC","11",242.807903914,217.407903914,25.4,0,15.6,25.4
123,1988-06-11,"a_pre_pb","a_pre_pb",14,"CC",146,146,0,0,0,0,"CC","CC","14",126.2,119.6,6.6,0,0,6.6
123,1988-06-11,"a_pre_pb","a_pre_pb",15,"EE",0,0,0,0,0,0,"EE","EE","15",30.4,0,30.4,0,0,30.4
123,1988-06-11,"a_pre_pb","a_pre_pb",17,"CC",142,142,0,0,0,0,"CC","CC","17",148,130,18,0,0,18
123,1988-06-11,"a_pre_pb","a_pre_pb",19,"EE",20,0,20,0,20,20,"EE","EE","19",34.6,0,34.6,0,7,34.6
123,1988-06-11,"a_pre_pb","a_pre_pb",20,"EE",51,0,51,0,0,51,"EE","EE","20",71.745846882,29.4,42.345846882,0,0,42.345846882
123,1988-06-11,"a_pre_pb","a_pre_pb",21,"EE",9,0,9,0,0,9,"EE","EE","21",15.6,0,15.6,0,0,15.6
124,1988-07-14,"a_pre_pb","a_pre_pb",3,"EE",40,0,40,0,40,40,"EE","EE","3",124.333333333333,20,104.333333333333,0,37.6666666666667,104.333333333333
124,1988-07-14,"a_pre_pb","a_pre_pb",4,"CC",374,374,0,0,0,0,"CC","CC","4",344.5,343.166666666667,1.33333333333333,0,0,1.33333333333333
124,1988-07-14,"a_pre_pb","a_pre_pb",11,"CC",144,126,18,0,18,18,"CC","CC","11",226.339919928333,202.173253261667,24.1666666666667,0,16,24.1666666666667
124,1988-07-14,"a_pre_pb","a_pre_pb",14,"CC",110,110,0,0,0,0,"CC","CC","14",123.5,118,5.5,0,0,5.5
124,1988-07-14,"a_pre_pb","a_pre_pb",15,"EE",21,0,21,0,0,21,"EE","EE","15",28.8333333333333,0,28.8333333333333,0,0,28.8333333333333
124,1988-07-14,"a_pre_pb","a_pre_pb",17,"CC",167,151,16,0,0,16,"CC","CC","17",151.166666666667,133.5,17.6666666666667,0,0,17.6666666666667
124,1988-07-14,"a_pre_pb","a_pre_pb",19,"EE",38,0,38,0,20,38,"EE","EE","19",35.1666666666667,0,35.1666666666667,0,9.16666666666667,35.1666666666667
124,1988-07-14,"a_pre_pb","a_pre_pb",20,"EE",53,0,53,0,0,53,"EE","EE","20",68.6215390683333,24.5,44.1215390683333,0,0,44.1215390683333
124,1988-07-14,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",13,0,13,0,0,13
125,1988-08-09,"a_pre_pb","a_pre_pb",3,"EE",94.66603416,0,94.66603416,0,94.66603416,94.66603416,"EE","EE","3",110.77767236,13.5,97.27767236,0,53.4443390266667,97.27767236
125,1988-08-09,"a_pre_pb","a_pre_pb",4,"CC",361,347,14,0,14,14,"CC","CC","4",346.166666666667,342.5,3.66666666666667,0,2.33333333333333,3.66666666666667
125,1988-08-09,"a_pre_pb","a_pre_pb",11,"CC",182,165,17,0,17,17,"CC","CC","11",207.173253261667,184.006586595,23.1666666666667,0,18.8333333333333,23.1666666666667
125,1988-08-09,"a_pre_pb","a_pre_pb",14,"CC",221,221,0,0,0,0,"CC","CC","14",153,147.5,5.5,0,0,5.5
125,1988-08-09,"a_pre_pb","a_pre_pb",15,"EE",0,0,0,0,0,0,"EE","EE","15",20.1666666666667,0,20.1666666666667,0,0,20.1666666666667
125,1988-08-09,"a_pre_pb","a_pre_pb",17,"CC",197,167,30,0,0,30,"CC","CC","17",158.333333333333,142.666666666667,15.6666666666667,0,0,15.6666666666667
125,1988-08-09,"a_pre_pb","a_pre_pb",19,"EE",44.66603416,0,44.66603416,0,29.66603416,44.66603416,"EE","EE","19",29.27767236,0,29.27767236,0,14.1110056933333,29.27767236
125,1988-08-09,"a_pre_pb","a_pre_pb",20,"EE",83,0,83,0,17,83,"EE","EE","20",52.3333333333333,0,52.3333333333333,0,2.83333333333333,52.3333333333333
125,1988-08-09,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",6.5,0,6.5,0,0,6.5
126,1988-09-11,"a_pre_pb","a_pre_pb",3,"EE",42,0,42,0,16,42,"EE","EE","3",86.6110056933333,0,86.6110056933333,0,52.77767236,86.6110056933333
126,1988-09-11,"a_pre_pb","a_pre_pb",4,"CC",189,174,15,0,15,15,"CC","CC","4",300,293.833333333333,6.16666666666667,0,4.83333333333333,6.16666666666667
126,1988-09-11,"a_pre_pb","a_pre_pb",11,"CC",123,93,30,0,16,30,"CC","CC","11",173.333333333333,148.166666666667,25.1666666666667,0,18.5,25.1666666666667
126,1988-09-11,"a_pre_pb","a_pre_pb",14,"CC",145,145,0,0,0,0,"CC","CC","14",148,146,2,0,0,2
126,1988-09-11,"a_pre_pb","a_pre_pb",15,"EE",40,0,40,0,0,40,"EE","EE","15",14,0,14,0,0,14
126,1988-09-11,"a_pre_pb","a_pre_pb",17,"CC",58,58,0,0,0,0,"CC","CC","17",141,133.333333333333,7.66666666666667,0,0,7.66666666666667
126,1988-09-11,"a_pre_pb","a_pre_pb",19,"EE",0,0,0,0,0,0,"EE","EE","19",25.6110056933333,0,25.6110056933333,0,14.1110056933333,25.6110056933333
126,1988-09-11,"a_pre_pb","a_pre_pb",20,"EE",0,0,0,0,0,0,"EE","EE","20",47,0,47,0,2.83333333333333,47
126,1988-09-11,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",2.83333333333333,0,2.83333333333333,0,0,2.83333333333333
127,1988-10-08,"a_pre_pb","a_pre_pb",3,"EE",38,0,38,0,15,38,"EE","EE","3",68.77767236,0,68.77767236,0,48.1110056933333,68.77767236
127,1988-10-08,"a_pre_pb","a_pre_pb",4,"CC",258.52721657,258.52721657,0,0,0,0,"CC","CC","4",321.921202761667,317.087869428333,4.83333333333333,0,4.83333333333333,4.83333333333333
127,1988-10-08,"a_pre_pb","a_pre_pb",11,"CC",251,251,0,0,0,0,"CC","CC","11",189.833333333333,168.166666666667,21.6666666666667,0,15,21.6666666666667
127,1988-10-08,"a_pre_pb","a_pre_pb",14,"CC",248,248,0,0,0,0,"CC","CC","14",171,171,0,0,0,0
127,1988-10-08,"a_pre_pb","a_pre_pb",15,"EE",0,0,0,0,0,0,"EE","EE","15",12.1666666666667,0,12.1666666666667,0,0,12.1666666666667
127,1988-10-08,"a_pre_pb","a_pre_pb",17,"CC",108,108,0,0,0,0,"CC","CC","17",130.5,122.833333333333,7.66666666666667,0,0,7.66666666666667
127,1988-10-08,"a_pre_pb","a_pre_pb",19,"EE",0,0,0,0,0,0,"EE","EE","19",19.6110056933333,0,19.6110056933333,0,14.1110056933333,19.6110056933333
127,1988-10-08,"a_pre_pb","a_pre_pb",20,"EE",0,0,0,0,0,0,"EE","EE","20",41.8333333333333,0,41.8333333333333,0,2.83333333333333,41.8333333333333
127,1988-10-08,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",1.5,0,1.5,0,0,1.5
128,1988-11-05,"a_pre_pb","a_pre_pb",3,"EE",46,0,46,0,0,46,"EE","EE","3",63.27767236,0,63.27767236,0,37.27767236,63.27767236
128,1988-11-05,"a_pre_pb","a_pre_pb",4,"CC",362,362,0,0,0,0,"CC","CC","4",314.087869428333,309.254536095,4.83333333333333,0,4.83333333333333,4.83333333333333
128,1988-11-05,"a_pre_pb","a_pre_pb",11,"CC",166,81,85,0,0,85,"CC","CC","11",184.333333333333,151.833333333333,32.5,0,11.6666666666667,32.5
128,1988-11-05,"a_pre_pb","a_pre_pb",14,"CC",291,279,12,0,0,12,"CC","CC","14",193.5,191.5,2,0,0,2
128,1988-11-05,"a_pre_pb","a_pre_pb",15,"EE",24,0,24,0,0,24,"EE","EE","15",14.1666666666667,0,14.1666666666667,0,0,14.1666666666667
128,1988-11-05,"a_pre_pb","a_pre_pb",17,"CC",91,60,31,0,0,31,"CC","CC","17",127.166666666667,114.333333333333,12.8333333333333,0,0,12.8333333333333
128,1988-11-05,"a_pre_pb","a_pre_pb",19,"EE",22,0,22,0,0,22,"EE","EE","19",20.77767236,0,20.77767236,0,11.6110056933333,20.77767236
128,1988-11-05,"a_pre_pb","a_pre_pb",20,"EE",12,0,12,0,0,12,"EE","EE","20",33.1666666666667,0,33.1666666666667,0,2.83333333333333,33.1666666666667
128,1988-11-05,"a_pre_pb","a_pre_pb",21,"EE",0,0,0,0,0,0,"EE","EE","21",1.5,0,1.5,0,0,1.5
129,1988-12-13,"a_pre_pb","a_pre_pb",3,"EE",20,0,20,0,0,20,"EE","EE","3",46.77767236,0,46.77767236,0,27.6110056933333,46.77767236
129,1988-12-13,"a_pre_pb","a_pre_pb",4,"CC",400,389,11,0,0,11,"CC","CC","4",324.087869428333,317.421202761667,6.66666666666667,0,4.83333333333333,6.66666666666667
129,1988-12-13,"a_pre_pb","a_pre_pb",11,"CC",246,176,70,0,0,70,"CC","CC","11",185.333333333333,148.666666666667,36.6666666666667,0,8.5,36.6666666666667
129,1988-12-13,"a_pre_pb","a_pre_pb",14,"CC",257,227,30,0,0,30,"CC","CC","14",212,205,7,0,0,7
129,1988-12-13,"a_pre_pb","a_pre_pb",15,"EE",47,0,47,0,0,47,"EE","EE","15",22,0,22,0,0,22
129,1988-12-13,"a_pre_pb","a_pre_pb",17,"CC",99,57,42,0,0,42,"CC","CC","17",120,100.166666666667,19.8333333333333,0,0,19.8333333333333
129,1988-12-13,"a_pre_pb","a_pre_pb",19,"EE",21.72923441,0,21.72923441,0,0,21.72923441,"EE","EE","19",21.065878095,0,21.065878095,0,8.27767236,21.065878095
129,1988-12-13,"a_pre_pb","a_pre_pb",20,"EE",34,0,34,0,0,34,"EE","EE","20",30.3333333333333,0,30.3333333333333,0,2.83333333333333,30.3333333333333
129,1988-12-13,"a_pre_pb","a_pre_pb",21,"EE",47,0,47,0,0,47,"EE","EE","21",7.83333333333333,0,7.83333333333333,0,0,7.83333333333333
130,1989-01-10,"a_pre_pb","a_pre_pb",3,"EE",79,0,79,0,0,79,"EE","EE","3",53.27767236,0,53.27767236,0,20.9443390266667,53.27767236
130,1989-01-10,"a_pre_pb","a_pre_pb",4,"CC",370,357,13,0,0,13,"CC","CC","4",323.421202761667,314.587869428333,8.83333333333333,0,4.83333333333333,8.83333333333333
130,1989-01-10,"a_pre_pb","a_pre_pb",11,"CC",173,132,41,0,0,41,"CC","CC","11",190.166666666667,149.666666666667,40.5,0,5.5,40.5
130,1989-01-10,"a_pre_pb","a_pre_pb",14,"CC",177,177,0,0,0,0,"CC","CC","14",223.166666666667,216.166666666667,7,0,0,7
130,1989-01-10,"a_pre_pb","a_pre_pb",15,"EE",14,0,14,0,0,14,"EE","EE","15",20.8333333333333,0,20.8333333333333,0,0,20.8333333333333
130,1989-01-10,"a_pre_pb","a_pre_pb",17,"CC",120,57,63,0,0,63,"CC","CC","17",112.166666666667,84.5,27.6666666666667,0,0,27.6666666666667
130,1989-01-10,"a_pre_pb","a_pre_pb",19,"EE",70,0,70,0,0,70,"EE","EE","19",26.3992114283333,0,26.3992114283333,0,4.94433902666667,26.3992114283333
130,1989-01-10,"a_pre_pb","a_pre_pb",20,"EE",47,0,47,0,0,47,"EE","EE","20",29.3333333333333,0,29.3333333333333,0,2.83333333333333,29.3333333333333
130,1989-01-10,"a_pre_pb","a_pre_pb",21,"EE",32,0,32,0,0,32,"EE","EE","21",13.1666666666667,0,13.1666666666667,0,0,13.1666666666667
131,1989-02-04,"a_pre_pb","a_pre_pb",3,"EE",89,0,89,0,0,89,"EE","EE","3",52.3333333333333,0,52.3333333333333,0,5.16666666666667,52.3333333333333
131,1989-02-04,"a_pre_pb","a_pre_pb",4,"CC",329,306,23,0,0,23,"CC","CC","4",318.087869428333,307.754536095,10.3333333333333,0,2.5,10.3333333333333
131,1989-02-04,"a_pre_pb","a_pre_pb",11,"CC",386,315,71,0,0,71,"CC","CC","11",224.166666666667,174.666666666667,49.5,0,2.66666666666667,49.5
131,1989-02-04,"a_pre_pb","a_pre_pb",14,"CC",116,97,19,0,0,19,"CC","CC","14",205.666666666667,195.5,10.1666666666667,0,0,10.1666666666667
131,1989-02-04,"a_pre_pb","a_pre_pb",15,"EE",83,44,39,0,0,39,"EE","EE","15",34.6666666666667,7.33333333333333,27.3333333333333,0,0,27.3333333333333
131,1989-02-04,"a_pre_pb","a_pre_pb",17,"CC",131.72923441,54,77.72923441,0,0,77.72923441,"CC","CC","17",101.288205735,65.6666666666667,35.6215390683333,0,0,35.6215390683333
131,1989-02-04,"a_pre_pb","a_pre_pb",19,"EE",83,0,83,0,0,83,"EE","EE","19",32.788205735,0,32.788205735,0,0,32.788205735
131,1989-02-04,"a_pre_pb","a_pre_pb",20,"EE",65,0,65,0,0,65,"EE","EE","20",26.3333333333333,0,26.3333333333333,0,0,26.3333333333333
131,1989-02-04,"a_pre_pb","a_pre_pb",21,"EE",44,0,44,0,0,44,"EE","EE","21",20.5,0,20.5,0,0,20.5
132,1989-03-12,"a_pre_pb","a_pre_pb",3,"EE",97,0,97,0,0,97,"EE","EE","3",61.5,0,61.5,0,2.5,61.5
132,1989-03-12,"a_pre_pb","a_pre_pb",4,"CC",235,223,12,0,0,12,"CC","CC","4",325.754536095,315.921202761667,9.83333333333333,0,0,9.83333333333333
132,1989-03-12,"a_pre_pb","a_pre_pb",11,"CC",164,143,21,0,0,21,"CC","CC","11",231,183,48,0,0,48
132,1989-03-12,"a_pre_pb","a_pre_pb",14,"CC",257,192,65,0,0,65,"CC","CC","14",224.333333333333,203.333333333333,21,0,0,21
132,1989-03-12,"a_pre_pb","a_pre_pb",15,"EE",46,0,46,0,0,46,"EE","EE","15",35.6666666666667,7.33333333333333,28.3333333333333,0,0,28.3333333333333
132,1989-03-12,"a_pre_pb","a_pre_pb",17,"CC",118,60,58,0,0,58,"CC","CC","17",111.288205735,66,45.288205735,0,0,45.288205735
132,1989-03-12,"a_pre_pb","a_pre_pb",19,"EE",83,0,83,0,0,83,"EE","EE","19",46.6215390683333,0,46.6215390683333,0,0,46.6215390683333
132,1989-03-12,"a_pre_pb","a_pre_pb",20,"EE",78,0,78,0,0,78,"EE","EE","20",39.3333333333333,0,39.3333333333333,0,0,39.3333333333333
132,1989-03-12,"a_pre_pb","a_pre_pb",21,"EE",53,0,53,0,0,53,"EE","EE","21",29.3333333333333,0,29.3333333333333,0,0,29.3333333333333
133,1989-04-01,"a_pre_pb","a_pre_pb",3,"EE",123,0,123,0,64,123,"EE","EE","3",75.6666666666667,0,75.6666666666667,0,10.6666666666667,75.6666666666667
133,1989-04-01,"a_pre_pb","a_pre_pb",4,"CC",371,346,25,0,15,25,"CC","CC","4",344.5,330.5,14,0,2.5,14
133,1989-04-01,"a_pre_pb","a_pre_pb",11,"CC",139,93,46,0,0,46,"CC","CC","11",212.333333333333,156.666666666667,55.6666666666667,0,0,55.6666666666667
133,1989-04-01,"a_pre_pb","a_pre_pb",14,"CC",117,97,20,0,0,20,"CC","CC","14",202.5,178.166666666667,24.3333333333333,0,0,24.3333333333333
133,1989-04-01,"a_pre_pb","a_pre_pb",15,"EE",30,0,30,0,0,30,"EE","EE","15",40.6666666666667,7.33333333333333,33.3333333333333,0,0,33.3333333333333
133,1989-04-01,"a_pre_pb","a_pre_pb",17,"CC",121,109,12,0,0,12,"CC","CC","17",113.454872401667,66.1666666666667,47.288205735,0,0,47.288205735
133,1989-04-01,"a_pre_pb","a_pre_pb",19,"EE",41,0,41,0,20,41,"EE","EE","19",53.4548724016667,0,53.4548724016667,0,3.33333333333333,53.4548724016667
133,1989-04-01,"a_pre_pb","a_pre_pb",20,"EE",52,0,52,0,0,52,"EE","EE","20",48,0,48,0,0,48
133,1989-04-01,"a_pre_pb","a_pre_pb",21,"EE",47,0,47,0,0,47,"EE","EE","21",37.1666666666667,0,37.1666666666667,0,0,37.1666666666667
134,1989-05-09,"a_pre_pb","a_pre_pb",3,"EE",75,0,75,0,0,75,"EE","EE","3",80.5,0,80.5,0,10.6666666666667,80.5
134,1989-05-09,"a_pre_pb","a_pre_pb",4,"CC",154,154,0,0,0,0,"CC","CC","4",309.833333333333,295.833333333333,14,0,2.5,14
134,1989-05-09,"a_pre_pb","a_pre_pb",11,"CC",48,48,0,0,0,0,"CC","CC","11",192.666666666667,151.166666666667,41.5,0,0,41.5
134,1989-05-09,"a_pre_pb","a_pre_pb",14,"CC",158,158,0,0,0,0,"CC","CC","14",180.333333333333,158,22.3333333333333,0,0,22.3333333333333
134,1989-05-09,"a_pre_pb","a_pre_pb",15,"EE",82,0,82,0,0,82,"EE","EE","15",50.3333333333333,7.33333333333333,43,0,0,43
134,1989-05-09,"a_pre_pb","a_pre_pb",17,"CC",177,137,40,0,0,40,"CC","CC","17",127.788205735,79,48.788205735,0,0,48.788205735
134,1989-05-09,"a_pre_pb","a_pre_pb",19,"EE",22,0,22,0,0,22,"EE","EE","19",53.4548724016667,0,53.4548724016667,0,3.33333333333333,53.4548724016667
134,1989-05-09,"a_pre_pb","a_pre_pb",20,"EE",60,0,60,0,0,60,"EE","EE","20",56,0,56,0,0,56
134,1989-05-09,"a_pre_pb","a_pre_pb",21,"EE",27,0,27,0,0,27,"EE","EE","21",41.6666666666667,0,41.6666666666667,0,0,41.6666666666667
135,1989-06-03,"a_pre_pb","a_pre_pb",3,"EE",35,0,35,0,0,35,"EE","EE","3",83,0,83,0,10.6666666666667,83
135,1989-06-03,"a_pre_pb","a_pre_pb",4,"CC",223,223,0,0,0,0,"CC","CC","4",280.333333333333,268.166666666667,12.1666666666667,0,2.5,12.1666666666667
135,1989-06-03,"a_pre_pb","a_pre_pb",11,"CC",81.39257813,71.39257813,10,0,0,10,"CC","CC","11",165.232096355,133.732096355,31.5,0,0,31.5
135,1989-06-03,"a_pre_pb","a_pre_pb",14,"CC",154,136,18,0,0,18,"CC","CC","14",163.166666666667,142.833333333333,20.3333333333333,0,0,20.3333333333333
135,1989-06-03,"a_pre_pb","a_pre_pb",15,"EE",69,0,69,0,0,69,"EE","EE","15",54,7.33333333333333,46.6666666666667,0,0,46.6666666666667
135,1989-06-03,"a_pre_pb","a_pre_pb",17,"CC",186,148,38,0,0,38,"CC","CC","17",142.288205735,94.1666666666667,48.1215390683333,0,0,48.1215390683333
135,1989-06-03,"a_pre_pb","a_pre_pb",19,"EE",81,0,81,0,0,81,"EE","EE","19",63.3333333333333,0,63.3333333333333,0,3.33333333333333,63.3333333333333
135,1989-06-03,"a_pre_pb","a_pre_pb",20,"EE",86,26,60,0,0,60,"EE","EE","20",64.6666666666667,4.33333333333333,60.3333333333333,0,0,60.3333333333333
135,1989-06-03,"a_pre_pb","a_pre_pb",21,"EE",33.72923441,0,33.72923441,0,0,33.72923441,"EE","EE","21",39.4548724016667,0,39.4548724016667,0,0,39.4548724016667
136,1989-07-03,"a_pre_pb","a_pre_pb",3,"EE",51,0,51,0,22,51,"EE","EE","3",78.3333333333333,0,78.3333333333333,0,14.3333333333333,78.3333333333333
136,1989-07-03,"a_pre_pb","a_pre_pb",4,"CC",159,159,0,0,0,0,"CC","CC","4",245.166666666667,235.166666666667,10,0,2.5,10
136,1989-07-03,"a_pre_pb","a_pre_pb",11,"CC",145,129,16,0,16,16,"CC","CC","11",160.565429688333,133.232096355,27.3333333333333,0,2.66666666666667,27.3333333333333
136,1989-07-03,"a_pre_pb","a_pre_pb",14,"CC",131,131,0,0,0,0,"CC","CC","14",155.5,135.166666666667,20.3333333333333,0,0,20.3333333333333
136,1989-07-03,"a_pre_pb","a_pre_pb",15,"EE",26,0,26,0,0,26,"EE","EE","15",56,7.33333333333333,48.6666666666667,0,0,48.6666666666667
136,1989-07-03,"a_pre_pb","a_pre_pb",17,"CC",68,47,21,0,0,21,"CC","CC","17",133.621539068333,92.5,41.1215390683333,0,0,41.1215390683333
136,1989-07-03,"a_pre_pb","a_pre_pb",19,"EE",21,0,21,0,0,21,"EE","EE","19",55.1666666666667,0,55.1666666666667,0,3.33333333333333,55.1666666666667
136,1989-07-03,"a_pre_pb","a_pre_pb",20,"EE",67,46,21,0,0,21,"EE","EE","20",68,12,56,0,0,56
136,1989-07-03,"a_pre_pb","a_pre_pb",21,"EE",29.72923441,0,29.72923441,0,0,29.72923441,"EE","EE","21",39.07641147,0,39.07641147,0,0,39.07641147
137,1989-07-29,"a_pre_pb","a_pre_pb",3,"EE",69,0,69,0,35,69,"EE","EE","3",75,0,75,0,20.1666666666667,75
137,1989-07-29,"a_pre_pb","a_pre_pb",4,"CC",295,295,0,0,0,0,"CC","CC","4",239.5,233.333333333333,6.16666666666667,0,2.5,6.16666666666667
137,1989-07-29,"a_pre_pb","a_pre_pb",11,"CC",141,133,8,0,0,8,"CC","CC","11",119.732096355,102.898763021667,16.8333333333333,0,2.66666666666667,16.8333333333333
137,1989-07-29,"a_pre_pb","a_pre_pb",14,"CC",322,322,0,0,0,0,"CC","CC","14",189.833333333333,172.666666666667,17.1666666666667,0,0,17.1666666666667
137,1989-07-29,"a_pre_pb","a_pre_pb",15,"EE",18,0,18,0,0,18,"EE","EE","15",45.1666666666667,0,45.1666666666667,0,0,45.1666666666667
137,1989-07-29,"a_pre_pb","a_pre_pb",17,"CC",91,91,0,0,0,0,"CC","CC","17",126.833333333333,98.6666666666667,28.1666666666667,0,0,28.1666666666667
137,1989-07-29,"a_pre_pb","a_pre_pb",19,"EE",0,0,0,0,0,0,"EE","EE","19",41.3333333333333,0,41.3333333333333,0,3.33333333333333,41.3333333333333
137,1989-07-29,"a_pre_pb","a_pre_pb",20,"EE",110.39257813,97.39257813,13,0,0,13,"EE","EE","20",75.5654296883333,28.232096355,47.3333333333333,0,0,47.3333333333333
137,1989-07-29,"a_pre_pb","a_pre_pb",21,"EE",11,0,11,0,0,11,"EE","EE","21",33.57641147,0,33.57641147,0,0,33.57641147
138,1989-09-03,"a_pre_pb","a_pre_pb",3,"EE",32,0,32,0,32,32,"EE","EE","3",64.1666666666667,0,64.1666666666667,0,25.5,64.1666666666667
